trajectory,time,lat,lon,z,age,bathy,distance,obs,traj,Date
3966,206236800,35.01307678222656,25.924179077148438,0,26,123.54708862304687,865.42181396484375,27,3967,2018-07-15T00:00:00Z
3955,206236800,35.01929473876953,25.9385929107666,0,26,23.18779754638672,861.32391357421875,27,3956,2018-07-15T00:00:00Z
3986,206236800,35.0195426940918,25.94129753112793,0,26,19.2427978515625,860.03564453125,27,3987,2018-07-15T00:00:00Z
4447,206755200,34.99888610839844,25.999534606933594,0,26,285.8921203613281,865.8406982421875,27,4448,2018-07-21T00:00:00Z
255,220924800,36.23668670654297,26.009370803833008,0,26,341.14093017578125,876.79840087890625,27,256,2019-01-01T00:00:00Z
3962,206236800,35.01427459716797,26.03589630126953,0,26,74.42984771728516,851.07110595703125,27,3963,2018-07-15T00:00:00Z
3947,206236800,35.011714935302734,26.062301635742187,0,26,100.85708618164062,858.9989013671875,27,3948,2018-07-15T00:00:00Z
5588,207964800,34.9933967590332,26.0643367767334,0,26,303.44512939453125,892.1561279296875,27,5589,2018-08-04T00:00:00Z
3950,206236800,35.01682662963867,26.07206153869629,0,26,44.27141571044922,857.16162109375,27,3951,2018-07-15T00:00:00Z
246,220579200,36.302921295166016,26.074542999267578,0,26,226.39840698242187,917.69171142578125,27,247,2018-12-28T00:00:00Z
151,198115200,34.99628829956055,26.136688232421875,0,26,218.24172973632812,855.74884033203125,27,152,2018-04-12T00:00:00Z
3923,206236800,35.01863098144531,26.148759841918945,0,26,21.616918563842773,851.915283203125,27,3924,2018-07-15T00:00:00Z
3880,206150400,34.949424743652344,26.158634185791016,0,26,346.7148132324219,854.799072265625,27,3881,2018-07-14T00:00:00Z
79,195004800,34.932674407958984,26.158817291259766,0,26,332.8699645996094,937.4091796875,27,80,2018-03-07T00:00:00Z
74,194832000,35.06051254272461,26.250625610351563,0,26,11.887118339538574,941.111572265625,27,75,2018-03-05T00:00:00Z
74,194832000,35.118247985839844,26.25521469116211,0,26,9.101603507995605,942.7684326171875,27,75,2018-03-05T00:00:00Z
76,194918400,35.132850646972656,26.263856887817383,0,26,19.60097312927246,907.70550537109375,27,77,2018-03-06T00:00:00Z
115,196560000,35.107513427734375,26.265033721923828,0,26,29.895864486694336,872.8275146484375,27,116,2018-03-25T00:00:00Z
84,195264000,35.030723571777344,26.265792846679688,0,26,216.12196350097656,909.4910888671875,27,85,2018-03-10T00:00:00Z
3891,206150400,35.06491470336914,26.274839401245117,0,26,87.1304702758789,857.2686767578125,27,3892,2018-07-14T00:00:00Z
819,202867200,35.306575775146484,26.28370475769043,0,26,120.41320037841797,871.12384033203125,27,820,2018-06-06T00:00:00Z
836,202867200,35.286155700683594,26.290218353271484,0,26,85.69635772705078,866.48614501953125,27,837,2018-06-06T00:00:00Z
78,195004800,35.08357620239258,26.291950225830078,0,26,119.07221984863281,938.3397216796875,27,79,2018-03-07T00:00:00Z
818,202867200,35.24315643310547,26.300296783447266,0,26,94.930267333984375,858.4947509765625,27,819,2018-06-06T00:00:00Z
78,195004800,35.232879638671875,26.30255889892578,0,26,103.64501953125,938.71246337890625,27,79,2018-03-07T00:00:00Z
870,202867200,35.199501037597656,26.30309295654297,0,26,134.04693603515625,868.86334228515625,27,871,2018-06-06T00:00:00Z
640,202694400,35.33181381225586,26.311187744140625,0,26,174.2659454345703,868.8382568359375,27,641,2018-06-04T00:00:00Z
43,193449600,35.15904998779297,26.311399459838867,0,26,123.3812484741211,837.7626953125,27,44,2018-02-17T00:00:00Z
70,194659200,35.10968017578125,26.31355094909668,0,26,171.87127685546875,939.4122314453125,27,71,2018-03-03T00:00:00Z
99,195868800,35.247535705566406,26.318920135498047,0,26,154.8034210205078,872.79864501953125,27,100,2018-03-17T00:00:00Z
874,202867200,35.189170837402344,26.319019317626953,0,26,200.1487274169922,866.54022216796875,27,875,2018-06-06T00:00:00Z
516,202521600,35.14439010620117,26.3194522857666,0,26,123.92314147949219,871.125244140625,27,517,2018-06-02T00:00:00Z
3860,206150400,35.13075256347656,26.319660186767578,0,26,153.0940704345703,869.497802734375,27,3861,2018-07-14T00:00:00Z
728,202780800,35.20722961425781,26.319719314575195,0,26,181.55380249023437,876.9117431640625,27,729,2018-06-05T00:00:00Z
