Year ,X,Y
2019,36.540627,22.390963
2019,36.657645,25.123124
2019,35.527159,27.103701
2019,35.594324,24.087468
2019,36.687078,22.837481
2019,35.237547,23.660462
2019,36.486163,22.511302
2019,35.557781,27.213116
2019,35.958297,27.888983
2019,36.668467,27.11795
2019,36.363195,25.396887
2019,35.247669,23.811093
2019,36.380227,28.239639
2019,36.437678,28.201153
2019,36.773354,24.580729
2019,36.774817,24.582722
2019,37.780715,26.894102
2019,36.862111,22.249439
2019,39.741207,19.938717
2019,36.045702,27.955457
2019,36.462491,22.43427
2019,36.463354,22.424111
2019,36.045338,27.955907
2019,36.332899,28.209606
2019,36.803912,22.622282
2019,35.230609,23.674042
2019,35.231472,23.675501
2019,37.658634,20.804318
2019,36.517128,22.986805
2019,37.653304,20.807333
2019,38.487569,20.802001
2019,35.558051,27.20487
2019,36.767465,24.612798
2019,35.416659,25.020025
2019,36.879868,22.233608
2019,36.879868,22.233608
2019,34.847749,24.117579
2019,35.127871,25.744351
2019,37.653595,20.85902
2019,37.8860463,20.7241151
2019,37.908555,20.712123
2019,37.720047,20.953352
2019,37.88405,20.723433
2019,35.512073,27.22307
2019,35.094784,26.267275
2019,35.26654,23.547091
2019,36.319793,28.206491
2019,37.050883,21.556289
2019,36.454592,25.404145
2019,36.681357,22.844878
2019,38.589213,20.887964
2019,38.27,20.6828
2019,37.248279,21.006927
2019,37.251697,21.018431
2019,34.959188,33.898187
2019,34.965105,33.692888
