Species,Country,Year,Area,X - Longitude,Y - Latidue,Depth (m),Substrate,Individual,Observation method,Source
Pterois miles,Cyprus,2015,Cyprus,33.297388,35.357729,0, ,1,Fishing and observations,Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Vasiliko Port (external side of wave breakers), Larnaca
",33.316667,34.715,14,Artificial hard,1,Freediving /Spearfishing,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,Ye?ilovac?k Bay-Mersin bay,33.562683,36.128,110, ,1, ,Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Larnaca port, oil pipe line",33.65,34.936667,16,Pipeline,1,Freediving /Spearfishing,Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Alexandria Wreck, Larnaca
",33.653333,34.893333,30,wreck,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Zenovia wreck, Larnaca",33.658333,34.883333,20,wreck,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Zenovia wreck, Larnaca",33.658333,34.896667,20,wreck,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Zenovia wreck, Larnaca",33.658333,34.896667,22,wreck,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,33.663903,36.149039,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Green Bay, Protaras, Famagusta
",34.068333,35.001667,4,natural hard,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Green Bay, Protaras, Famagusta
",34.068333,35.001667,12,natural hard,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Green Bay, Protaras, Famagusta
",34.068333,35.001667,4,natural hard,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Cape Greco, Famagusta",34.073333,34.961667,10,natural hard,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Cyclops Caves, Protaras, Famagusta
",34.076667,34.985,14,natural hard,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Cyclops Caves, Protaras, Famagusta
",34.076667,34.985,13,natural hard,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Cyclops Caves, Protaras, Famagusta
",34.076667,34.985,14,natural hard,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Cyclops Caves, Protaras, Famagusta
",34.076667,34.985,9,natural hard,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Cyclops Caves, Protaras, Famagusta
",34.076667,34.985,14,natural hard,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Konnos Bay, Protaras, Famagusta
",34.078333,34.988333,12,natural hard,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,Cyprus,34.109778,35.542701,0, ,1,Fishing and observations,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,34.126857,36.368351,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Sipahikoy in Karpas, N Cyprus",34.224759,35.560539,40,rocky bottom,1, ,Dimitriadis et al. 2020
Pterois miles,Turkey,2015,South Aegean Sea,34.306333,36.437572,0, ,1,Underwater observation,Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,Cyprus,34.415427,35.654355,0, ,1,Fishing and observations,Dimitriadis et al. 2020
Pterois miles,Israel,2015,Israel,34.7015,31.996449,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Israel,2015,Israel,34.719873,32.149223,0, ,1, ,Dimitriadis et al. 2020
Pterois miles,Cyprus,2015,"Xylofagou, Larnaca",34.945,32.836667,14,natural hard,1,"Recreational scuba diving
",Dimitriadis et al. 2020
Pterois miles,Israel,2015,Israel,35.034412,32.841531,0, ,1, ,Dimitriadis et al. 2020
